"","X.2","SampleID","Site","Room.Type","Start.Date","SamplerStart","CollectionDate","SamplerEnd","Entry","SamplerNumber","Cartridge","Location","CollectionMethod","Notes","Flushed.Toilets","occupiedrooms","stack.n","wing.n","building.n","s.wing.n","source.rooms","Runtime","N","ORF1ab","S","MS2","Result","ct","X","X.1","LogCopiesPerL","lab","Result.clean"
"150",321,"E314","Barnhart","Port",NA,NA,2021-04-02,1259,11,8,NA,"Port #31","Swab",NA,NA,"210, 212",2,10,14,6,"110, 112, 210, 212, 310, 312, 410, 412, 510, 512, 610, 612, 710, 712",NA,"32.7","No Amp","No Amp","31.4","Negative",37.6,NA,NA,NA,"uo","Negative"
"151",325,"E318","Barnhart","Port",NA,NA,2021-04-02,1303,11,4,NA,"Port #32","Swab",NA,NA,"209, 211",2,10,14,6,"109, 111, 209, 211, 309, 409, 509, 609, 311, 411, 511, 611, 711, 709",NA,"33.1","No Amp","No Amp","24.3","Negative",37.7,NA,NA,NA,"uo","Negative"
"152",33,"E32","Barnhart","Roof","3/23/2021",1131,2021-03-24,1225,2,6,"E","Exhaust #37","PUF",NA,NA,NA,0,2,2,0,"117, 119, 217, 219, 317, 417, 517, 617, 717, 319, 419, 519, 619, 719",NA,"30.6","No Amp","28.5","27.7","Positive (2/3)",33,NA,NA,NA,"uo","Positive"
"153",327,"E320","Barnhart","Port",NA,NA,2021-04-02,1305,11,3,NA,"Port #29","Swab",NA,NA,"105, 205, 207",3,10,14,6,"105, 107, 205, 207, 305, 405, 505, 605, 705, 307, 407, 507, 607, 707",NA,"28.8","30","24.2","25.6","Positive (3/3)",27.6,NA,NA,NA,"uo","Positive"
"154",331,"E323","Barnhart","Indoors",NA,NA,2021-04-03,1112,8,NA,NA,"W. Entrance Door Handle Exterior","Swab",NA,NA,NA,NA,10,16,6,NA,NA,"31.3","No Amp","No Amp","27.1","Negative",37.1,NA,NA,NA,"uo","Negative"
"155",332,"E324","Barnhart","Indoors",NA,NA,2021-04-03,1113,8,NA,NA,"W. Entrance Door Handle Interior","Swab",NA,NA,NA,NA,10,16,6,NA,NA,"31.8","No Amp","No Amp","26.9","Negative",37.3,NA,NA,NA,"uo","Negative"
"156",333,"E325","Barnhart","Indoors",NA,NA,2021-04-03,1114,8,NA,NA,"Lobby Call Elevator Button","Swab",NA,NA,NA,NA,10,16,6,NA,NA,"31.5","33.7","24.1","28","Positive (3/3)",29.8,NA,NA,NA,"uo","Positive"
"157",334,"E326","Barnhart","Indoors",NA,NA,2021-04-03,1115,8,NA,NA,"Positive Floor Elevator Railing","Swab",NA,NA,NA,NA,10,16,6,NA,NA,"28.8","29.6","25.2","29.8","Positive (3/3)",27.9,NA,NA,NA,"uo","Positive"
"158",335,"E327","Barnhart","Indoors",NA,NA,2021-04-03,1117,8,NA,NA,"Positive Floor Elevator Buttons","Swab",NA,NA,NA,NA,10,16,6,NA,NA,"27.2","27.5","26.5","27.3","Positive (3/3)",27.1,NA,NA,NA,"uo","Positive"
"159",336,"E328","Barnhart","Indoors",NA,NA,2021-04-03,1118,8,NA,NA,"2nd Floor Elevator Call Button","Swab",NA,NA,NA,NA,10,16,6,NA,NA,"25.1","25.2","23.7","26.9","Positive (3/3)",24.6,NA,NA,NA,"uo","Positive"
